strategy,short_evaluable,short_matched,short_accuracy,long_evaluable,long_matched,long_accuracy,short_delta_vs_cio,long_delta_vs_cio
cio,55,23,0.41818181818181815,55,30,0.5454545454545454,0.0,0.0
raw_aggregation,55,22,0.4,55,32,0.5818181818181818,-0.018181818181818132,0.036363636363636376
uniform_raw,55,22,0.4,55,32,0.5818181818181818,-0.018181818181818132,0.036363636363636376
fundamental_heavy_raw,55,22,0.4,55,33,0.6,-0.018181818181818132,0.054545454545454564
news_macro,55,25,0.45454545454545453,55,29,0.5272727272727272,0.036363636363636376,-0.018181818181818188
market_technical,55,26,0.4727272727272727,55,31,0.5636363636363636,0.054545454545454564,0.018181818181818188
fundamental,55,7,0.12727272727272726,55,16,0.2909090909090909,-0.2909090909090909,-0.2545454545454545
gpt_baseline,55,26,0.4727272727272727,55,25,0.45454545454545453,0.054545454545454564,-0.09090909090909088
gemini_baseline,55,19,0.34545454545454546,55,26,0.4727272727272727,-0.0727272727272727,-0.0727272727272727
claude_baseline,55,31,0.5636363636363636,55,11,0.2,0.14545454545454545,-0.3454545454545454
