ticker,company,earnings_date,pre_7d_return,post_1d_return,post_3d_return,post_7d_return,post_30d_return,full_window_return,full_30d_window_return,price_anchor,spy_post_7d_return,abnormal_vs_spy,spy_post_30d_return,abnormal_30d_vs_spy,spy_error,qqq_post_7d_return,abnormal_vs_qqq,qqq_post_30d_return,abnormal_30d_vs_qqq,qqq_error,realized_direction_vs_qqq,realized_30d_direction_vs_qqq,long_horizon_trading_days,error,bucket
AAPL,Apple,2026-01-29,0.046939576416626494,0.0046461394466286166,0.04336384990101605,0.06425959152528082,-0.030687464246250906,0.11421548594880937,0.014811655597356088,event_close,,,,,"No close prices for SPY from 2025-12-30 through 2026-03-30. This usually means Yahoo/yfinance failed or rate-limited the notebook, not that the ticker is delisted. yf.download returned no rows; Ticker.history returned no rows",,,,,"No close prices for QQQ from 2025-12-30 through 2026-03-30. This usually means Yahoo/yfinance failed or rate-limited the notebook, not that the ticker is delisted. yf.download returned no rows; Ticker.history returned no rows",,,30.0,,mega_cap_platform
MSFT,Microsoft,2026-01-28,,,,,,,,,,,,,,,,,,,,,,"No close prices for MSFT from 2025-12-29 through 2026-03-29. This usually means Yahoo/yfinance failed or rate-limited the notebook, not that the ticker is delisted. yf.download returned no rows; Ticker.history returned no rows",mega_cap_platform
GOOGL,Alphabet,2026-02-03,,,,,,,,,,,,,,,,,,,,,,"No close prices for GOOGL from 2026-01-04 through 2026-04-04. This usually means Yahoo/yfinance failed or rate-limited the notebook, not that the ticker is delisted. yf.download returned no rows; Ticker.history returned no rows",mega_cap_platform
AMZN,Amazon,2026-02-05,,,,,,,,,,,,,,,,,,,,,,"No close prices for AMZN from 2026-01-06 through 2026-04-06. This usually means Yahoo/yfinance failed or rate-limited the notebook, not that the ticker is delisted. yf.download returned no rows; Ticker.history returned no rows",mega_cap_platform
META,Meta Platforms,2026-01-28,,,,,,,,,,,,,,,,,,,,,,"No close prices for META from 2025-12-29 through 2026-03-29. This usually means Yahoo/yfinance failed or rate-limited the notebook, not that the ticker is delisted. yf.download returned no rows; Ticker.history returned no rows",mega_cap_platform
TSLA,Tesla,2026-01-28,-0.01380573381696426,-0.03453389466363932,-0.02236590666017546,-0.04716545335961786,-0.08448055998547466,-0.060320033482142765,-0.09711997767857139,event_close,-0.006902303135100762,-0.0402631502245171,-0.04221908310934808,-0.04226147687612658,,-0.0372223971735669,-0.009943056186050958,-0.05678904564164777,-0.027691514343826884,,down,down,30.0,,mega_cap_platform
NVDA,Nvidia,2026-02-25,0.06974447720648813,-0.0545612407949545,-0.06688480831766097,-0.09071379512631783,-0.059521552217209006,-0.027296104136331212,0.006071625447371165,event_close,-0.02996475254378561,-0.06074904258253222,-0.01642247148946996,-0.04309908072773905,,-0.02745348039696116,-0.06326031472935667,-0.009276420749222969,-0.05024513146798604,,down,down,30.0,,mega_cap_platform
AMD,Advanced Micro Devices,2026-02-03,-0.06766016851889856,-0.17314443047898198,-0.13906901030136853,-0.14939489520367566,-0.17615957122367976,-0.20694697993723032,-0.23190075346736716,event_close,-0.011979151272565658,-0.13741574393111,-0.04075244013419976,-0.13540713108948,,-0.025757450951063077,-0.12363744425261258,-0.03506770140547366,-0.1410918698182061,,down,down,30.0,,ai_semis
AVGO,Broadcom,2026-03-05,0.022366310390292465,-0.006881571374074635,0.029479805918017243,-0.02358974472082176,0.22424745535516122,-0.0017510498829830246,0.2516293539361605,event_close,-0.01802405117200301,-0.005565693548818751,0.045162129505440074,0.17908532584972114,,-0.014008587271323814,-0.009581157449497946,0.06693629559836345,0.15731115975679777,,down,up,30.0,,ai_semis
MU,Micron Technology,2025-12-17,-0.08666772384531163,0.10211953852468114,0.22645440425387986,0.30582176124920757,0.9420753956642784,0.19264916145406286,0.7737601415860724,event_close,0.02752831726860383,0.27829344398060374,0.038821671764977195,0.9032537238993013,,0.03540908269565901,0.27041267855354856,0.044197732857444105,0.8978776628068343,,up,up,30.0,,ai_semis
